"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","QGDP","VOLIDX","IDX","Q","2000-Q1",64.2,
"AUS","QGDP","VOLIDX","IDX","Q","2000-Q2",64.8,
"AUS","QGDP","VOLIDX","IDX","Q","2000-Q3",64.9,
"AUS","QGDP","VOLIDX","IDX","Q","2000-Q4",64.6,
"AUS","QGDP","VOLIDX","IDX","Q","2001-Q1",65.3,
"AUS","QGDP","VOLIDX","IDX","Q","2001-Q2",65.8,
"AUS","QGDP","VOLIDX","IDX","Q","2001-Q3",66.6,
"AUS","QGDP","VOLIDX","IDX","Q","2001-Q4",67.4,
"AUS","QGDP","VOLIDX","IDX","Q","2002-Q1",67.9,
"AUS","QGDP","VOLIDX","IDX","Q","2002-Q2",69.1,
"AUS","QGDP","VOLIDX","IDX","Q","2002-Q3",69.3,
"AUS","QGDP","VOLIDX","IDX","Q","2002-Q4",69.8,
"AUS","QGDP","VOLIDX","IDX","Q","2003-Q1",69.9,
"AUS","QGDP","VOLIDX","IDX","Q","2003-Q2",70.1,
"AUS","QGDP","VOLIDX","IDX","Q","2003-Q3",71.3,
"AUS","QGDP","VOLIDX","IDX","Q","2003-Q4",72.5,
"AUS","QGDP","VOLIDX","IDX","Q","2004-Q1",73.1,
"AUS","QGDP","VOLIDX","IDX","Q","2004-Q2",73.6,
"AUS","QGDP","VOLIDX","IDX","Q","2004-Q3",74.1,
"AUS","QGDP","VOLIDX","IDX","Q","2004-Q4",74.7,
"AUS","QGDP","VOLIDX","IDX","Q","2005-Q1",75.3,
"AUS","QGDP","VOLIDX","IDX","Q","2005-Q2",75.6,
"AUS","QGDP","VOLIDX","IDX","Q","2005-Q3",76.5,
"AUS","QGDP","VOLIDX","IDX","Q","2005-Q4",77.1,
"AUS","QGDP","VOLIDX","IDX","Q","2006-Q1",77.3,
"AUS","QGDP","VOLIDX","IDX","Q","2006-Q2",77.4,
"AUS","QGDP","VOLIDX","IDX","Q","2006-Q3",78.5,
"AUS","QGDP","VOLIDX","IDX","Q","2006-Q4",79.6,
"AUS","QGDP","VOLIDX","IDX","Q","2007-Q1",80.7,
"AUS","QGDP","VOLIDX","IDX","Q","2007-Q2",81.2,
"AUS","QGDP","VOLIDX","IDX","Q","2007-Q3",82.1,
"AUS","QGDP","VOLIDX","IDX","Q","2007-Q4",82.5,
"AUS","QGDP","VOLIDX","IDX","Q","2008-Q1",83.5,
"AUS","QGDP","VOLIDX","IDX","Q","2008-Q2",83.7,
"AUS","QGDP","VOLIDX","IDX","Q","2008-Q3",84.3,
"AUS","QGDP","VOLIDX","IDX","Q","2008-Q4",83.9,
"AUS","QGDP","VOLIDX","IDX","Q","2009-Q1",84.8,
"AUS","QGDP","VOLIDX","IDX","Q","2009-Q2",85.2,
"AUS","QGDP","VOLIDX","IDX","Q","2009-Q3",85.5,
"AUS","QGDP","VOLIDX","IDX","Q","2009-Q4",86.1,
"AUS","QGDP","VOLIDX","IDX","Q","2010-Q1",86.5,
"AUS","QGDP","VOLIDX","IDX","Q","2010-Q2",87,
"AUS","QGDP","VOLIDX","IDX","Q","2010-Q3",87.6,
"AUS","QGDP","VOLIDX","IDX","Q","2010-Q4",88.5,
"AUS","QGDP","VOLIDX","IDX","Q","2011-Q1",88.3,
"AUS","QGDP","VOLIDX","IDX","Q","2011-Q2",89.3,
"AUS","QGDP","VOLIDX","IDX","Q","2011-Q3",90.5,
"AUS","QGDP","VOLIDX","IDX","Q","2011-Q4",91.5,
"AUS","QGDP","VOLIDX","IDX","Q","2012-Q1",92.4,
"AUS","QGDP","VOLIDX","IDX","Q","2012-Q2",93.1,
"AUS","QGDP","VOLIDX","IDX","Q","2012-Q3",93.6,
"AUS","QGDP","VOLIDX","IDX","Q","2012-Q4",94.1,
"AUS","QGDP","VOLIDX","IDX","Q","2013-Q1",94.4,
"AUS","QGDP","VOLIDX","IDX","Q","2013-Q2",94.8,
"AUS","QGDP","VOLIDX","IDX","Q","2013-Q3",95.6,
"AUS","QGDP","VOLIDX","IDX","Q","2013-Q4",96.4,
"AUS","QGDP","VOLIDX","IDX","Q","2014-Q1",97,
"AUS","QGDP","VOLIDX","IDX","Q","2014-Q2",97.6,
"AUS","QGDP","VOLIDX","IDX","Q","2014-Q3",98,
"AUS","QGDP","VOLIDX","IDX","Q","2014-Q4",98.4,
"AUS","QGDP","VOLIDX","IDX","Q","2015-Q1",99.2,
"AUS","QGDP","VOLIDX","IDX","Q","2015-Q2",99.4,
"AUS","QGDP","VOLIDX","IDX","Q","2015-Q3",100.4,
"AUS","QGDP","VOLIDX","IDX","Q","2015-Q4",101,
"AUS","QGDP","VOLIDX","IDX","Q","2016-Q1",101.9,
"AUS","QGDP","VOLIDX","IDX","Q","2016-Q2",102.6,
"AUS","QGDP","VOLIDX","IDX","Q","2016-Q3",102.7,
"AUS","QGDP","VOLIDX","IDX","Q","2016-Q4",103.8,
"AUS","QGDP","VOLIDX","IDX","Q","2017-Q1",104.1,
"AUS","QGDP","VOLIDX","IDX","Q","2017-Q2",104.8,
"AUS","QGDP","VOLIDX","IDX","Q","2017-Q3",105.8,
"AUS","QGDP","VOLIDX","IDX","Q","2017-Q4",106.3,
"AUS","QGDP","VOLIDX","IDX","Q","2018-Q1",107.3,
"AUS","QGDP","VOLIDX","IDX","Q","2018-Q2",108.2,
"AUS","QGDP","VOLIDX","IDX","Q","2018-Q3",108.6,
