"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","EMP","TOT","PC_WKGPOP","Q","2017-Q1",74.90744,
"JPN","EMP","TOT","PC_WKGPOP","Q","2017-Q2",75.14768,
"JPN","EMP","TOT","PC_WKGPOP","Q","2017-Q3",75.45605,
"JPN","EMP","TOT","PC_WKGPOP","Q","2017-Q4",75.79758,
"JPN","EMP","TOT","PC_WKGPOP","Q","2018-Q1",76.40079,
"JPN","EMP","TOT","PC_WKGPOP","Q","2018-Q2",76.84134,
"JPN","EMP","TOT","PC_WKGPOP","Q","2018-Q3",77.04583,
"JPN","EMP","TOT","PC_WKGPOP","Q","2018-Q4",77.2619,
"JPN","EMP","TOT","PC_WKGPOP","Q","2019-Q1",77.45187,
"JPN","EMP","TOT","PC_WKGPOP","Q","2019-Q2",77.66871,
"JPN","EMP","TOT","PC_WKGPOP","Q","2019-Q3",77.86788,
"JPN","EMP","TOT","PC_WKGPOP","Q","2019-Q4",77.97385,
"JPN","EMP","TOT","PC_WKGPOP","Q","2020-Q1",77.90707,
"JPN","EMP","TOT","PC_WKGPOP","Q","2020-Q2",77.06886,
"JPN","EMP","TOT","PC_WKGPOP","Q","2020-Q3",77.10619,
"JPN","EMP","TOT","PC_WKGPOP","Q","2020-Q4",77.31382,
"USA","EMP","TOT","PC_WKGPOP","Q","2017-Q1",69.79793,
"USA","EMP","TOT","PC_WKGPOP","Q","2017-Q2",70.05906,
"USA","EMP","TOT","PC_WKGPOP","Q","2017-Q3",70.27377,
"USA","EMP","TOT","PC_WKGPOP","Q","2017-Q4",70.28902,
"USA","EMP","TOT","PC_WKGPOP","Q","2018-Q1",70.49011,
"USA","EMP","TOT","PC_WKGPOP","Q","2018-Q2",70.64246,
"USA","EMP","TOT","PC_WKGPOP","Q","2018-Q3",70.74519,
"USA","EMP","TOT","PC_WKGPOP","Q","2018-Q4",70.97148,
"USA","EMP","TOT","PC_WKGPOP","Q","2019-Q1",71.0546,
"USA","EMP","TOT","PC_WKGPOP","Q","2019-Q2",71.17715,
"USA","EMP","TOT","PC_WKGPOP","Q","2019-Q3",71.47609,
"USA","EMP","TOT","PC_WKGPOP","Q","2019-Q4",71.66521,
"USA","EMP","TOT","PC_WKGPOP","Q","2020-Q1",71.33482,
"USA","EMP","TOT","PC_WKGPOP","Q","2020-Q2",62.40475,
"USA","EMP","TOT","PC_WKGPOP","Q","2020-Q3",66.43522,
"USA","EMP","TOT","PC_WKGPOP","Q","2020-Q4",67.88257,
"USA","EMP","TOT","PC_WKGPOP","Q","2021-Q1",68.39096,
"EA19","EMP","TOT","PC_WKGPOP","Q","2017-Q1",65.95143,
"EA19","EMP","TOT","PC_WKGPOP","Q","2017-Q2",66.22953,
"EA19","EMP","TOT","PC_WKGPOP","Q","2017-Q3",66.47321,
"EA19","EMP","TOT","PC_WKGPOP","Q","2017-Q4",66.77194,
"EA19","EMP","TOT","PC_WKGPOP","Q","2018-Q1",66.94065,
"EA19","EMP","TOT","PC_WKGPOP","Q","2018-Q2",67.16958,
"EA19","EMP","TOT","PC_WKGPOP","Q","2018-Q3",67.42029,
"EA19","EMP","TOT","PC_WKGPOP","Q","2018-Q4",67.58005,
"EA19","EMP","TOT","PC_WKGPOP","Q","2019-Q1",67.81876,
"EA19","EMP","TOT","PC_WKGPOP","Q","2019-Q2",67.95071,
"EA19","EMP","TOT","PC_WKGPOP","Q","2019-Q3",67.94765,
"EA19","EMP","TOT","PC_WKGPOP","Q","2019-Q4",68.1619,
"EA19","EMP","TOT","PC_WKGPOP","Q","2020-Q1",68.03338,
"EA19","EMP","TOT","PC_WKGPOP","Q","2020-Q2",66.17143,
"EA19","EMP","TOT","PC_WKGPOP","Q","2020-Q3",66.75845,
"EA19","EMP","TOT","PC_WKGPOP","Q","2020-Q4",67.26781,
